52min;52max;czas;nazwa;kurs_biezacy;zmiana_procentowa;zmiana_kwotowa;kurs_odniesienia;kurs_otwarcia;kurs_min;kurs_max;wolumen;obrot;
0,87;2,64;18:05;WANDALEX;1,48;12,98;0,17;1,31;1,34;1,34;1,53;20 053;28.7458;
2,62;4,63;18:05;WARIMPEX;0,00;---;---;3,70;0,00;0,00;0,00;0;0;
1,88;3,15;18:05;WASKO;2,18;2,35;0,05;2,13;2,13;2,12;2,18;52 859;113.62625;
464,60;745,00;18:05;WAWEL;726,00;-0,55;-4,00;730,00;722,00;720,00;726,00;212;152.75;
0,42;4,56;18:05;WESTAISIC;1,00;0,00;0,00;1,00;1,01;0,99;1,02;66 339;66.67948;
1,85;4,90;18:05;WIELTON;4,17;3,47;0,14;4,03;4,13;4,06;4,25;53 171;220.97917;
0,37;0,77;18:05;WIKANA;0,38;0,00;0,00;0,38;0,38;0,37;0,38;30 339;11.22545;
3,55;4,88;18:05;WOJAS;3,74;-0,53;-0,02;3,76;3,76;3,67;3,76;1 799;6.67835;
4,22;7,59;18:05;WORKSERV;5,29;9,07;0,44;4,85;4,84;4,83;5,29;245 384;1231.08675;
3,07;7,80;18:05;YAWAL;6,59;-0,15;-0,01;6,60;6,60;6,20;6,60;426;2.77285;
1,26;2,73;18:05;ZAMET;2,18;0,46;0,01;2,17;2,17;2,14;2,18;360 719;782.71438;
0,69;2,63;18:05;ZASTAL;2,45;-2,78;-0,07;2,52;2,50;2,35;2,63;290 821;716.73688;
19,35;39,33;18:05;ZELMER;38,75;-0,64;-0,25;39,00;38,81;38,75;38,81;619;24.00731;
25,30;26,36;18:05;ZEPAK;26,30;0,15;0,04;26,26;26,20;26,07;26,36;111 113;2918.07775;
23,30;45,45;18:05;ZETKAMA;40,01;-0,72;-0,29;40,30;40,40;40,01;40,40;1 646;66.01105;
103,00;257,00;18:05;ZPUE;229,00;0,44;1,00;228,00;226,00;222,00;229,00;67;15.0666;
0,21;0,45;18:05;ZREMB;0,32;0,00;0,00;0,32;0,32;0,30;0,32;471 760;145.12556;
5,02;8,70;18:05;ZUE;5,39;-0,19;-0,01;5,40;5,30;5,10;5,39;20 582;105.68234;
474,00;584,00;18:05;ZYWIEC;486,00;0,00;0,00;486,00;480,00;480,00;486,00;7;3.388;
